Wahlkreis,Bundesland,CDU,CSU,SPD,GRUENE,LINKE,PIRATEN,FREIE,AFD
1,SH,8409,0,8753,6954,4710,962,1477,5688
2,SH,6280,0,5741,5301,4540,795,1794,5732
3,SH,8194,0,8960,5351,5251,959,1597,4016
4,SH,9460,0,7555,6191,3675,945,1902,6292
5,SH,9254,0,4658,5028,4821,630,1226,5167
6,SH,5877,0,6722,5799,5215,785,1506,5508
7,SH,7290,0,6038,5631,6328,171,1113,5462
8,SH,8664,0,8034,5021,4732,731,1016,6065
9,SH,9928,0,4440,4721,6617,511,1153,5452
10,SH,9523,0,5869,4080,5123,570,1614,6425
11,SH,7542,0,4084,6896,5012,252,1577,4797
12,MV,6135,0,5748,6511,4073,80,1314,3139
13,MV,5222,0,4632,7114,3806,497,1198,4368
14,MV,8867,0,7408,6235,2726,328,1490,6459
15,MV,8954,0,5036,7461,4544,19,1925,4345
16,MV,5144,0,4071,4369,2883,163,1021,6125
17,MV,6672,0,4206,6986,3244,381,1038,3251
18,HAM,8341,0,4499,5223,6860,862,1680,5536
19,HAM,7297,0,7083,7442,6506,328,1730,6256
20,HAM,8572,0,8815,4818,4863,789,1642,5325
21,HAM,7600,0,7985,6027,4633,543,1607,5526
22,HAM,5950,0,7159,5606,4044,566,1377,6106
23,HAM,5992,0,5420,4540,4407,127,1650,5578
24,NS,7543,0,5104,6278,4876,229,1040,5055
25,NS,5752,0,7740,4361,2921,408,1472,6155
26,NS,8309,0,5662,6142,2494,392,1784,5943
27,NS,9607,0,6487,4511,5831,637,1912,3900
28,NS,9043,0,4585,4315,2542,110,1608,5483
29,NS,9319,0,6311,5578,5697,422,1231,5665
30,NS,6701,0,5851,5744,3327,233,1146,5029
31,NS,9450,0,7772,4652,2543,337,1501,4585
32,NS,5775,0,4013,6873,5800,335,1214,5202
33,NS,6251,0,4051,5826,6033,33,1570,5013
34,NS,7558,0,8464,5471,2051,552,1991,5834
35,NS,5711,0,4474,4922,2237,237,1956,6525
36,NS,8705,0,4984,5875,3366,460,1563,3474
37,NS,5097,0,5089,5595,6716,24,1249,6870
38,NS,7444,0,5705,6917,6263,291,1042,3422
39,NS,6542,0,6724,6527,6222,150,1984,5506
40,NS,8009,0,7767,5435,6977,94,1234,5359
41,NS,6386,0,7916,5712,4518,200,1579,5362
42,NS,8452,0,8455,5402,6317,722,1100,5329
43,NS,5952,0,7832,4190,3772,849,1454,3225
44,NS,8077,0,8027,5009,5077,854,1620,6160
45,NS,8122,0,6397,5722,6820,670,1897,3715
46,NS,5598,0,8963,4871,4753,664,1716,3949
47,NS,5882,0,5489,4285,4807,73,1534,4747
48,NS,8452,0,4774,4653,2444,481,1621,6451
49,NS,5655,0,7745,4900,5442,890,1996,3576
50,NS,9736,0,7578,6095,2432,331,1687,6006
51,NS,6782,0,5955,5729,6908,277,1490,3204
52,NS,7814,0,7786,4663,2412,978,1349,5921
53,NS,7444,0,7846,7089,6970,520,1056,6409
54,BRE,6966,0,6934,6737,5584,252,1000,5109
55,BRE,9235,0,7229,6045,2800,319,1277,4697
56,BRA,6859,0,4101,5013,4583,44,1529,6348
57,BRA,9456,0,4236,6758,5370,227,1376,6725
58,BRA,5955,0,7759,5926,2933,636,1948,5980
59,BRA,7424,0,6906,5258,6738,805,1744,5230
60,BRA,8142,0,5479,6452,3026,883,1061,5019
61,BRA,5382,0,6756,5405,6674,618,1944,6569
62,BRA,8786,0,4099,4118,6279,159,1613,5801
63,BRA,8316,0,4954,4621,4917,31,1908,5159
64,BRA,8747,0,7012,5236,6365,509,1402,3292
65,BRA,6054,0,7683,4444,2347,698,1773,5280
66,SAXA,5976,0,4482,4920,4461,624,1956,6318
67,SAXA,8220,0,7468,7016,5881,558,1699,4078
68,SAXA,9739,0,6339,7314,3783,596,1469,3078
69,SAXA,6001,0,7146,5613,5809,966,1989,4539
70,SAXA,8941,0,6810,5975,6143,981,1026,6430
71,SAXA,6804,0,6899,4740,5390,688,1647,4032
72,SAXA,6397,0,4935,7048,3403,702,1116,3605
